Chinese,English 
因为会把数据呈现在地址栏上,because it renders the data on the address bar
会进行数据映射,will do data mapping
任丘市,Renqiu
首先创建分支,Create the branch first
实现这个功能的投入,The investment to implement this function
字段的情况,The condition of the field
支持不好,bad support
不重新渲染,don't re-render
分隔值,separated value
左侧编辑器始终不可编辑,Left editor is always uneditable
如果能用,if available
参数,parameter
允许选择区域,Allow selection of regions
超出日期范围,out of date range
图片列表,Picture list
自己拼接,Stitching by yourself
表示校验通过,Indicates that the verification is passed
中粘贴表格会看不到边框,Paste the table in the middle and you will not see the border
滨州市市辖区,District of Binzhou City
字体,font
会先进入,will enter first
是否隐藏,whether to hide
是否可以新增,Is it possible to add
同时如果插件中设置了自定义渲染,"At the same time, if custom rendering is set in the plugin"
这里只做排他,exclusive here
的一种扩展,an extension of
接口报错,interface error
为了性能,for performance
之间的联动,linkage between
记住这个优先级是最低的,Remember this priority is the lowest
鱼峰区,Yufeng District
配置默认值同理,The configuration default value is the same
修改运算优先级,Modify the operation priority
如果接口存在跨域,If the interface exists cross-domain
宁都县,Ningdu County
保存失败,save failed
苏州市,Suzhou City
能表现的要少很多,Can perform much less
公式第二部分,second part of the formula
卡片和列表不知道位置,Cards and lists don't know position
和静县,Hejing County
处理函数,processing function
最少条数,minimum number
如果要实现富文本编辑请使用,"If you want to implement rich text editing, please use"
操作前确认,Confirm before operation
巫溪县,Wuxi County
铁岭市,Tieling City
自定义确认对话框,custom confirmation dialog
后面这些接口可以不用实现,These latter interfaces may not be implemented
不填写,do not fill in
级联选择器多选,cascading selector multiple selection
黄石市市辖区,District of Huangshi City
值抽取出来组成新的数组,Values are extracted to form a new array
